PF00389	CL0325	Form_Glyc_dh	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00198	CL0149	CoA-acyltrans	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF04029	\N	\N	2-ph_phosp	2-phosphosulpholactate phosphatase
PF03171	CL0029	Cupin	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily
PF01073	CL0063	NADP_Rossmann	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family
PF04419	CL0361	C2H2-zf	4F5	4F5 protein family
PF03061	CL0050	HotDog	4HBT	Thioesterase superfamily
PF02872	\N	\N	5_nucleotid_C	5'-nucleotidase, C-terminal domain
PF00003	\N	\N	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF01661	CL0223	MACRO	Macro	Macro domain
PF02177	\N	\N	APP_N	Amyloid A4 N-terminal heparin-binding
PF00962	CL0034	Amidohydrolase	A_deaminase	Adenosine/AMP deaminase
PF01490	CL0062	APC	Aa_trans	Transmembrane amino acid transporter protein
PF00004	CL0023	P-loop_NTPase	AAA	ATPase family associated with various cellular activities (AAA)
PF00696	\N	\N	AA_kinase	Amino acid kinase family
PF03109	CL0016	PKinase	ABC1	ABC1 family
PF01842	CL0070	ACT	ACT	ACT domain
PF04083	CL0028	AB_hydrolase	Abhydro_lipase	Partial alpha/beta-hydrolase lipase region
PF00583	CL0257	Acetyltrans	Acetyltransf_1	Acetyltransferase (GNAT) family
PF01648	\N	\N	ACPS	4'-phosphopantetheinyl transferase superfamily
PF01064	CL0117	uPAR_Ly6_toxin	Activin_recp	Activin types I and II receptor domain
PF00441	CL0087	Acyl-CoA_dh	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain
PF01757	CL0316	Acyl_transf_3	Acyl_transf_3	Acyltransferase family
PF00928	CL0448	Cargo_bd_muHD	Adap_comp_sub	Adaptor complexes medium subunit family
PF00107	CL0063	NADP_Rossmann	ADH_zinc_N	Zinc-binding dehydrogenase
PF02682	CL0475	Cyclophil-like	AHS1	Allophanate hydrolase subunit 1
PF03915	\N	\N	AIP3	Actin interacting protein 3
PF00842	\N	\N	Ala_racemase_C	Alanine racemase, C-terminal domain
PF01168	CL0036	TIM_barrel	Ala_racemase_N	Alanine racemase, N-terminal domain
PF01315	\N	\N	Ald_Xan_dh_C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF02738	\N	\N	Ald_Xan_dh_C2	Molybdopterin-binding domain of aldehyde dehydrogenase
PF00248	\N	\N	Aldo_ket_red	Aldo/keto reductase family
PF01263	CL0103	Gal_mutarotase	Aldose_epim	Aldose 1-epimerase
PF03155	CL0111	GT-C	Alg6_Alg8	ALG6, ALG8 glycosyltransferase family
PF00245	CL0088	Alk_phosphatase	Alk_phosphatase	Alkaline phosphatase
PF02806	CL0369	GHD	Alpha-amylase_C	Alpha amylase, C-terminal all-beta domain
PF05111	\N	\N	Amelin	Ameloblastin precursor (Amelin)
PF01510	\N	\N	Amidase_2	N-acetylmuramoyl-L-alanine amidase
PF01520	CL0035	Peptidase_MH	Amidase_3	N-acetylmuramoyl-L-alanine amidase
PF01593	CL0063	NADP_Rossmann	Amino_oxidase	Flavin containing amine oxidoreductase
PF00501	CL0378	ANL	AMP-binding	AMP-binding enzyme
PF05195	CL0356	AMP_N-like	AMP_N	Aminopeptidase P, N-terminal domain
PF03098	\N	\N	An_peroxidase	Animal haem peroxidase
PF01821	\N	\N	ANATO	Anaphylotoxin-like domain
PF01094	CL0144	Periplas_BP	ANF_receptor	Receptor family ligand binding region
PF00023	CL0465	Ank	Ank	Ankyrin repeat
PF00191	\N	\N	Annexin	Annexin
PF03861	\N	\N	ANTAR	ANTAR domain
PF04729	\N	\N	ASF1_hist_chap	ASF1 like histone chaperone
PF02822	\N	\N	Antistasin	Antistasin family
PF00847	CL0081	MBD-like	AP2	AP2 domain
PF02424	\N	\N	ApbE	ApbE family
PF04049	\N	\N	APC8	Anaphase promoting complex subunit 8 / Cdc23 
PF04106	\N	\N	APG5	Autophagy protein Apg5 
PF04602	CL0111	GT-C	Arabinose_trans	Mycobacterial cell wall arabinan synthesis protein
PF03079	CL0029	Cupin	ARD	ARD/ARD' family
PF01412	\N	\N	ArfGap	Putative GTPase activating protein for Arf
PF01388	\N	\N	ARID	ARID/BRIGHT DNA binding domain
PF04683	\N	\N	Proteasom_Rpn13	Proteasome complex subunit Rpn13 ubiquitin receptor
PF00514	CL0020	TPR	Arm	Armadillo/beta-catenin-like repeat
PF00339	CL0135	Arrestin_N-like	Arrestin_N	Arrestin (or S-antigen), N-terminal domain
PF02752	CL0135	Arrestin_N-like	Arrestin_C	Arrestin (or S-antigen), C-terminal domain
PF04959	\N	\N	ARS2	Arsenite-resistance protein 2
PF01037	CL0032	Dim_A_B_barrel	AsnC_trans_reg	AsnC family
PF05118	CL0029	Cupin	Asp_Arg_Hydrox	Aspartyl/Asparaginyl beta-hydroxylase
PF01177	CL0399	Asp-glut_race	Asp_Glu_race	Asp/Glu/Hydantoin racemase
PF01400	CL0126	Peptidase_MA	Astacin	Astacin (Peptidase family M12A)
PF02178	\N	\N	AT_hook	AT hook motif
PF03029	CL0023	P-loop_NTPase	ATP_bind_1	Conserved hypothetical ATP binding protein
PF00306	\N	\N	ATP-synt_ab_C	ATP synthase alpha/beta chain, C terminal domain
PF02874	CL0275	HAS-barrel	ATP-synt_ab_N	ATP synthase alpha/beta family, beta-barrel domain
PF04718	\N	\N	ATP-synt_G	Mitochondrial ATP synthase g subunit
PF03768	\N	\N	Attacin_N	Attacin, N-terminal region
PF03797	CL0193	MBB	Autotransporter	Autotransporter beta-domain
PF03547	CL0064	CPA_AT	Mem_trans	Membrane transport protein
PF02310	\N	\N	B12-binding	B12 binding domain
PF02607	\N	\N	B12-binding_2	B12 binding domain
PF02362	CL0405	DNA_b-psBarrel	B3	B3 DNA binding domain
PF01313	CL0315	Gx_transp	Bac_export_3	Bacterial export proteins, family 3
PF02673	CL0292	LysE	BacA	Bacitracin resistance protein BacA
PF01011	CL0186	Beta_propeller	PQQ	PQQ enzyme repeat
PF03704	CL0020	TPR	BTAD	Bacterial transcriptional activator domain
PF01426	\N	\N	BAH	BAH domain
PF01145	CL0433	SPFH	Band_7	SPFH domain / Band 7 family
PF03594	CL0062	APC	BenE	Benzoate membrane transport protein
PF02944	\N	\N	BESS	BESS motif
PF02369	CL0159	E-set	Big_1	Bacterial Ig-like domain (group 1)
PF02785	\N	\N	Biotin_carb_C	Biotin carboxylase C-terminal domain
PF02012	CL0434	Sialidase	BNR	BNR/Asp-box repeat
PF00528	CL0404	BPD_transp_1	BPD_transp_1	Binding-protein-dependent transport system inner membrane component
PF02237	CL0206	TRB	BPL_C	Biotin protein ligase C terminal domain
PF03099	CL0040	tRNA_synt_II	BPL_LplA_LipB	Biotin/lipoate A/B protein ligase family
PF02485	\N	\N	Branch	Core-2/I-Branching enzyme
PF00533	CL0459	BRCT-like	BRCT	BRCA1 C Terminus (BRCT) domain
PF04089	\N	\N	BRICHOS	BRICHOS domain
PF04427	\N	\N	Brix	Brix domain
PF03097	\N	\N	BRO1	BRO1-like domain
PF00439	\N	\N	Bromodomain	Bromodomain
PF03909	\N	\N	BSD	BSD domain  
PF03092	CL0015	MFS	BT1	BT1 family
PF00651	CL0033	POZ	BTB	BTB/POZ domain
PF03437	CL0036	TIM_barrel	BtpA	BtpA family
PF03131	CL0018	bZIP	bZIP_Maf	bZIP Maf transcription factor
PF00168	CL0154	C2	C2	C2 domain
PF02743	CL0165	Cache	Cache_1	Cache domain
PF04857	CL0219	RNase_H	CAF1	CAF1 family ribonuclease
PF03135	\N	\N	CagE_TrbE_VirB	CagE, TrbE, VirB family, component of type IV transporter system
PF02515	\N	\N	CoA_transf_3	CoA-transferase family III
PF02888	\N	\N	CaMBD	Calmodulin binding domain
PF01302	\N	\N	CAP_GLY	CAP-Gly domain
PF01039	CL0127	ClpP_crotonase	Carboxyl_trans	Carboxyl transferase domain
PF00755	CL0149	CoA-acyltrans	Carn_acyltransf	Choline/Carnitine o-acyltransferase
PF03378	CL0020	TPR	CAS_CSE1	CAS/CSE protein, C-terminus
PF00690	\N	\N	Cation_ATPase_N	Cation transporter/ATPase, N-terminus
PF01545	CL0184	DMT	Cation_efflux	Cation efflux family
PF04586	CL0201	Peptidase_SH	Peptidase_U35	Caudovirus prohead protease
PF01607	CL0155	CBM_14_19	CBM_14	Chitin binding Peritrophin-A domain
PF00942	CL0203	CBD	CBM_3	Cellulose binding domain
PF02018	CL0202	GBD	CBM_4_9	Carbohydrate binding domain
PF03422	CL0202	GBD	CBM_6	Carbohydrate binding module (family 6)
PF00571	\N	\N	CBS	CBS domain
PF02754	\N	\N	CCG	Cysteine-rich domain
PF03379	CL0181	ABC-2	CcmB	CcmB protein
PF04103	CL0347	Tetraspannin	CD20	CD20-like family
PF05179	\N	\N	CDC73	RNA pol II accessory factor, Cdc73 family
PF01066	\N	\N	CDP-OH_P_transf	CDP-alcohol phosphatidyltransferase
PF00150	CL0058	Glyco_hydro_tim	Cellulase	Cellulase (glycosyl hydrolase family 5)
PF04218	CL0123	HTH	CENP-B_N	CENP-B N-terminal DNA-binding domain
PF04734	\N	\N	Ceramidase_alk	Neutral/alkaline non-lysosomal ceramidase
PF03859	\N	\N	CG-1	CG-1 domain
PF00307	CL0188	CH	CH	Calponin homology (CH) domain
PF04420	\N	\N	CHD5	CHD5-like protein
PF03067	\N	\N	Chitin_bind_3	Chitin binding domain
PF00379	\N	\N	Chitin_bind_4	Insect cuticle protein
PF04968	\N	\N	CHORD	CHORD 
PF02017	CL0072	Ubiquitin	CIDE-N	CIDE-N domain
PF02487	CL0015	MFS	CLN3	CLN3 protein
PF02861	\N	\N	Clp_N	Clp amino terminal domain
PF02353	CL0063	NADP_Rossmann	CMAS	Mycolic acid cyclopropane synthetase
PF00780	CL0186	Beta_propeller	CNH	CNH domain
PF00027	\N	\N	cNMP_binding	Cyclic nucleotide-binding domain
PF02629	CL0063	NADP_Rossmann	CoA_binding	CoA binding domain
PF01144	CL0246	ISOCOT_Fold	CoA_trans	Coenzyme A transferase
PF02514	\N	\N	CobN-Mg_chel	CobN/Magnesium Chelatase
PF02492	CL0023	P-loop_NTPase	cobW	CobW/HypB/UreG, nucleotide-binding domain
PF00135	CL0028	AB_hydrolase	COesterase	Carboxylesterase family
PF01484	\N	\N	Col_cuticle_N	Nematode cuticle collagen N-terminal domain
PF01391	\N	\N	Collagen	Collagen triple helix repeat (20 copies)
PF03772	\N	\N	Competence	Competence protein
PF05071	\N	\N	NDUFA12	NADH ubiquinone oxidoreductase subunit NDUFA12
PF00329	\N	\N	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF02950	CL0083	Omega_toxin	Conotoxin	Conotoxin
